自治体名,公開年月,発行号タイトル,記事タイトル,カテゴリ,記事本文
神奈川県厚木市,2024.10.01,広報あつぎ 第1432号（2024年10月1日発行）,タウンガイド,その他,"■アドベンチャー隊ハロウィーンアクティビティラリー
10月26・27日、10時30分?16時。アミューあつぎ他。射的や輪投げなどを全て体験した方に賞品あり。小学生以下1000人。無料。
申込み：不要。先着順。

問合せ：商業観光課
【電話】225-2840。

■斎場施設見学会
10月20日、10時30分?12時。市斎場。施設見学と葬儀の説明。定員30人。無料。
申込み：10月1?19日に市斎場【電話】281-8595へ。先着順。

■危険物取扱試験受験準備講習会
11月9日、9時30分?17時。愛川町消防本部。試験に向けた講習。危険物取扱者試験を受ける方10人。1万1000円(受講料、テキスト代)。
申込み：消防本部や消防署・分署にある申込書と費用を直接、10月7日から予防課【電話】223-9369へ。先着順。

■市民法律講座
11月(1)1日(2)8日(3)15日(4)22日(全4回)、18時?19時45分。あつぎ市民交流プラザ。(1)不動産の相続(2)保証の法律相談(3)避けようネットの消費者トラブル(4)犯罪被害者支援の概説を弁護士が講義。希望する回のみの受講も可。市内在住在勤在学の方30人。無料。
申込み：10月1?25日に市民協働推進課【電話】225-2100へ。先着順。講座予約システム(インターネットで申し込み可)。

■ごみ中間処理施設工事説明会
10月19日、15時?16時30分。環境センター。金田地区で2025年12月から稼働する施設の工事や事業の進捗(しんちょく)を説明。
申込み：不要。

問合せ：厚木愛甲環境施設組合
【電話】297-1153。

■競争入札参加資格の定期申請を
市が2025年4月1日?27年3月31日に発注する建設工事・業務委託などの入札に参加する事業者は定期申請が必要です。
申込み：11月30日までにかながわ電子入札共同システムHPで申請し、提出書類を簡易書留で12月2日(消印有効)までに〒243-8511契約検査課【電話】225-2171へ。

■児童扶養手当の制度一部変更
11月分から(1)第3子以降の児童に係る加算額(2)全部・一部支給の判定基準となる所得限度額が引き上げられます。児童扶養手当の認定を受けていない方は10月中に申請すると、11月分から支給される場合があります。詳しくは市HPに掲載。

問合せ：子育て給付課
【電話】225-2241。

■プロバスケットボールチーム湘南ユナイテッドBCのチケットを販売
市とスポーツを通じた地域づくりに関する協定を締結しました。市内で開催する試合のチケットをお得に購入できます。
日時：
(1)10月12日、15時?
(2)13日、14時?
場所：荻野運動公園
席種：2階自由席
価格：1000円(市内在住在学の小・中学生、高校生は無料)
対象：市内在住在学の方。
申込み：不要。本人確認書類をお持ちください。
詳細は市HPに掲載。

問合せ：スポーツ魅力創造課
【電話】225-2531。

■あつぎ郷土博物館の臨時休館
展示工事に伴い、10月10・11日は休館します。

問合せ：あつぎ郷土博物館
【電話】225-2515。

■平和への思いを込めた絵手紙(ピースメッセージ)パネルを展示
(1)10月1?15日…あつぎロードギャラリー
(2)10月16日?2025年3月…各公民館。
市民の皆さんが平和への思いを描いた絵手紙やメッセージの展示。

問合せ：地域包括ケア推進課
【電話】225-2200。"
神奈川県厚木市,2024.10.01,広報あつぎ 第1432号（2024年10月1日発行）,参加者募集 ATSUGI婚活ツアー 森林セラピーandミニセミナー,イベント,"厚木の自然や交流会を楽しみながら、すてきな出会いを見つけてみませんか。

日時：11月23日　9時30分?13時
場所：レンブラントホテル厚木、七沢森林公園他
内容：交流会、森林セラピー、アピール・告白タイム、ミニセミナー、マッチング発表
対象：25?39歳の男女各15人(学生は除く。男性は市内在住在勤)
費用：1500円
申込み：市役所や公民館にある申込書を、直接または郵送、ファクス、Eメールで10月25日(必着)までに〒243-8511企画政策課【FAX】225-3732【メール】1100@city.atsugi.kanagawa.jpへ。抽選。市HPからも申し込み可。

問合せ：企画政策課
【電話】225-2450"
神奈川県厚木市,2024.10.01,広報あつぎ 第1432号（2024年10月1日発行）,楽しく防災体験 あつぎ消防フェア,イベント,"消防車両の見学や防火服の着装体験をしながら楽しく防災を学びませんか。

日時：10月6日　10?15時
雨天中止(市HPに掲載)
場所：ぼうさいの丘公園
内容：消防車、救急車などの展示、スタンプラリー、記念撮影など
費用：無料
申込み：不要。

問合せ：予防課
【電話】223-9371"
神奈川県厚木市,2024.10.01,広報あつぎ 第1432号（2024年10月1日発行）,マイナンバーカードで便利に コンビニで証明書を交付,くらし,"マイナンバーカードを使ってコンビニエンスストアで住民票の写しや印鑑登録証明書などの証明書が発行できます。

取得できる証明書：
(1)住民票の写し
(2)印鑑登録証明書
(3)戸籍謄本・抄本
(4)付票の写し
(5)市・県民税(課税・非課税)証明書
※(1)(2)(5)は市内在住の方のみ取得可
費用：300円((3)は450円)
時間：6時30分?23時((3)(4)は平日9時?19時30分)
場所：マルチコピー機があるコンビニエンスストア

問合せ：
市民課【電話】225-2110
市民税課【電話】225-2012(税の証明)"
神奈川県厚木市,2024.10.01,広報あつぎ 第1432号（2024年10月1日発行）,ホットいいメール Hot E Mail,その他,"インターネットモニターからの意見を紹介

■9月1日号「広報あつぎ」を読んで
・新しい複合施設では気軽に市民が集まれるスペースがあるのがうれしい/70代男性
・複合施設の説明が分かりやすく完成が楽しみになった/30代女性
・子どもを保育園に通わせているので幼稚園にも関心が持てた/30代女性
・救急車を必要とする人のために適正に利用するのは大切/60代男性
・子どもを救急フェアに連れて行きたい/30代女性
・チョウトンボを探しに行きたくなった/50代女性

■インターネットモニター募集中
「厚木市　インターネットモニター」で検索

問合せ：広報シティプロモーション課
【電話】225-2043"
神奈川県厚木市,2024.10.01,広報あつぎ 第1432号（2024年10月1日発行）,編集後記,その他,小学生の頃、防災頭巾を敷いて体育館で見た相模人形芝居。言葉遣いが難しく、物語は理解できませんでしたが、太夫の声や人形の動きに感動したこと、公演後の体験で持った人形がずっしりと重たかったことを覚えています。人形芝居に関わる皆さんの民俗芸能に向き合う思いを知った今、振り返ってみると、当時の私が感じた人形の重さはその切実な願いだったのかもしれません/野口
神奈川県厚木市,2024.10.01,広報あつぎ 第1432号（2024年10月1日発行）,あつぎ郷土博物館 特別展 ドグウ集まれ!,文化,"市内で出土した土偶や、国の重要文化財に指定されている土偶などを展示します。その不思議な魅力に触れ、縄文時代に思いをはせてみませんか。

期間：10月12日?12月8日

■展示解説
10月12日、11月9日、12月8日　14?15時
申込み：不要。

■講演会
□土偶入門
10月19日

◇縄文世界の顔身体表現　土偶・土器・石棒を中心に
11月4日

○ドグウ集まった!
12月1日

いずれも14?16時。各回50人。
申込み：直接、電話または、ファクスで10月□9日◇25日○11月21日までにあつぎ郷土博物館へ。抽選。講座予約システム(インターネットで申し込み可)。

■イベント
□ミニ土偶作り体験
日時：11月9日　9時30分?16時
内容：ねん土で土偶を作る
定員：20人
申込み：直接、電話またはファクスで10月30日までにあつぎ郷土博物館へ。抽選。

□土偶マイム
日時：11月24日　(1)11時?(2)14時?(各回30分)
内容：土偶がテーマのパントマイム
定員：各回50人
申込み：不要。先着順。

■独特な表情を楽しんで
文化魅力創造課
佐藤　健二(52)
土偶は人を模したと思われる人形で、当時の人々の精神世界を支える祈りの道具と考えられています。時代によってデザインの流行もあり、みんな独特な顔をしているので表情を見るだけでも楽しめます。会場には、山梨県や群馬県で出土した国の重要文化財の土偶なども展示します。なぜ作ったんだろう?どんな思いが込められてるんだろう?と自由に想像しながら見てみてください。

問合せ：あつぎ郷土博物館
【電話】225-2515【FAX】246-3005"
神奈川県厚木市,2024.10.01,広報あつぎ 第1432号（2024年10月1日発行）,野外彫刻造形展 あつぎ青空アート展,文化,"秋空の下、プロの作家や子どもたちが作った作品の展示やワークショップなどを開催します。

期間：10月6?14日
場所：ぼうさいの丘公園

■ワークショップ
・かざぐるまアート教室…10月6日。50人。無料
・手形アート教室…10月6?14日。無料
・野点…10月12・13日。無料
・木の実アート教室…10月12・13日。150円
・まが玉づくり教室…10月14日。100人。200円
いずれも10?15時。費用は材料費。
申込み：不要。先着順。

10月6・12・13・14日はキッチンカーも出店

問合せ：文化魅力創造課
【電話】225-2508"
神奈川県厚木市,2024.10.01,広報あつぎ 第1432号（2024年10月1日発行）,自然歳時記,文化,"■ヒトスジシマカ(ハエ目カ科)
ママコノシリヌグイの花に体長5ミリほどの小さなヒトスジシマカが止まり花の蜜を吸っていた。雄は花の蜜や樹液を吸い、雌は人の血を吸うので気をつけよう/相模川、岡田の河川敷で見つけた。

河川敷は、コセンダングサやミゾソバの花が目立つ。ミゾソバのそばに小さなママコノシリヌグイの花が見えた。名前はかわいそうだが、小さなピンク色の花が集まって咲きとても美しい。その花に小さな蚊が止まり、一心不乱に蜜を吸っていた。この蚊は、触角に細い毛のある雄のヒトスジシマカで、雌は産卵のため栄養の多い人や他の生物の血も吸うので注意が必要だ。
対策として、蚊の嫌うハーブ類を植えたり、産卵場所の池や沼、庭の水たまりを整理したりしよう。蚊は風が苦手なので風通しを良くし、生活行動を察知し快適に過ごそう。

写真・文：吉田文雄

※写真は本紙をご覧ください。"
神奈川県厚木市,2024.10.01,広報あつぎ 第1432号（2024年10月1日発行）,厚木市の人口(9月1日現在),その他,"世帯数：10万6127世帯(前月比44世帯増)
人口：22万3791人(前月比1人増)
・男…11万5303人
・女…10万8488人"
神奈川県厚木市,2024.10.01,広報あつぎ 第1432号（2024年10月1日発行）,その他のお知らせ(広報あつぎ 第1432号(2024年10月1日発行)),その他,"■デジタル広報配信
アプリは「マチイロ」「カタログポケット」ネットは「マイ広報紙」

■厚木市はスポーツ、文化・芸術、歴史の聖地づくりに取り組んでいます。

■市役所への郵便物は「〒243-8511○○課」で届きます。

■「広報あつぎ」では、自主財源確保のため広告掲載事業を実施しています。広告掲載の申し込みは(株)横浜メディアアド【電話】045-450-1808へ。

■編集・発行
厚木市広報シティプロモーション課
〒243-8511　神奈川県厚木市中町3-17-17
【電話】046-223-1511(代)【FAX】046-223-9951"
